0;65;30;0
1;130;14;0
2;107;73;0
3;12;101;0
4;7;87;0
5;14;18;0
6;85;165;0
7;25;45;0
8;125;190;0
9;115;79;0
10;195;9;0
11;172;58;0
12;29;24;0
13;62;163;0
14;36;116;0
15;128;74;0
16;110;13;0
17;12;41;0
18;136;86;0
19;63;117;0
20;91;60;0
21;159;140;0
22;49;115;0
23;105;175;0
24;146;58;0
25;196;24;0
26;84;151;0
27;30;98;0
28;8;134;0
29;153;115;0
30;175;63;0
31;139;119;0
32;116;91;0
33;168;189;0
34;95;133;0
35;12;140;0
36;129;199;0
37;164;57;0
38;77;134;0
39;5;92;0
40;34;23;0
41;12;154;0
42;26;50;0
43;78;174;0
44;16;90;0
45;110;177;0
46;164;173;0
47;56;83;0
48;72;177;0
49;192;30;0
50;35;46;0
51;47;97;0
52;118;53;0
53;1;84;0
54;74;113;0
55;191;138;0
56;103;124;0
57;135;11;0
58;180;156;0
59;175;160;0
60;78;80;0
61;21;127;0
62;12;13;0
63;42;32;0
64;68;11;0
65;0;30;0
66;20;73;0
67;5;175;0
68;123;30;0
69;50;69;0
70;73;25;0
71;170;199;0
72;93;97;0
73;17;20;0
74;69;53;0
75;166;32;0
76;5;190;0
77;106;29;0
78;109;5;0
79;106;196;0
80;173;139;0
81;52;73;0
82;33;154;0
83;107;156;0
84;66;45;0
85;162;197;0
86;171;161;0
87;164;148;0
88;45;104;0
89;71;6;0
90;6;56;0
91;52;139;0
92;191;89;0
93;187;198;0
94;191;73;0
95;44;45;0
96;39;41;0
97;125;180;0
98;168;96;0
99;131;160;0
